antecedent	consequent	support	confidence	lift	antecedent_name	consequent_name
21137	('13176',)	0.023635999885678355	0.28241320432555495	2.384113464568162	Organic Strawberries	Bag of Organic Bananas
13176	('21137',)	0.023635999885678355	0.19953353707576	2.384113464568162	Bag of Organic Bananas	Organic Strawberries
47209	('13176',)	0.018415311478845734	0.330257987356911	2.7880159368580406	Organic Hass Avocado	Bag of Organic Bananas
13176	('47209',)	0.018415311478845734	0.15546083319929227	2.7880159368580406	Bag of Organic Bananas	Organic Hass Avocado
47766	('24852',)	0.017052978555164956	0.2976883419258274	2.090270398483398	Organic Avocado	Banana
24852	('47766',)	0.017052978555164956	0.11974045086627867	2.090270398483398	Banana	Organic Avocado
21137	('24852',)	0.01683386207093658	0.20113830392714857	1.412327536846679	Organic Strawberries	Banana
24852	('21137',)	0.01683386207093658	0.11820188641380695	1.412327536846679	Banana	Organic Strawberries
21903	('13176',)	0.016824335267274476	0.2258889741621898	1.906939677568166	Organic Baby Spinach	Bag of Organic Bananas
13176	('21903',)	0.016824335267274476	0.14202991796686504	1.906939677568166	Bag of Organic Bananas	Organic Baby Spinach
47626	('24852',)	0.01637657549515562	0.26450223111247884	1.857248357293703	Large Lemon	Banana
24852	('47626',)	0.01637657549515562	0.11499096929560505	1.857248357293703	Banana	Large Lemon
21903	('24852',)	0.015357207503310565	0.20619084164748017	1.4478048080280321	Organic Baby Spinach	Banana
24852	('21903',)	0.015357207503310565	0.10783329988628003	1.4478048080280321	Banana	Organic Baby Spinach
16797	('24852',)	0.014442634351748645	0.29419755482243354	2.0657592305201944	Strawberries	Banana
24852	('16797',)	0.014442634351748645	0.10141146564987626	2.0657592305201944	Banana	Strawberries
27966	('13176',)	0.013547114807510932	0.3191919191919192	2.694596926316405	Organic Raspberries	Bag of Organic Bananas
13176	('27966',)	0.013547114807510932	0.11436384108090719	2.694596926316405	Bag of Organic Bananas	Organic Raspberries
27966	('21137',)	0.012861184943839492	0.30303030303030304	3.6207378279091427	Organic Raspberries	Organic Strawberries
21137	('27966',)	0.012861184943839492	0.15367103016505407	3.6207378279091427	Organic Strawberries	Organic Raspberries
21903	('21137',)	0.01273733649623215	0.1710156050140701	2.0433688117827997	Organic Baby Spinach	Organic Strawberries
21137	('21903',)	0.01273733649623215	0.15219123505976095	2.0433688117827997	Organic Strawberries	Organic Baby Spinach
26209	('47626',)	0.012089513847209124	0.26240694789081886	4.238201277005015	Limes	Large Lemon
47626	('26209',)	0.012089513847209124	0.19526080935528545	4.238201277005015	Large Lemon	Limes
47209	('21137',)	0.011756075719035506	0.21083205193917648	2.5191130331132086	Organic Hass Avocado	Organic Strawberries
21137	('47209',)	0.011756075719035506	0.14046670461013092	2.5191130331132086	Organic Strawberries	Organic Hass Avocado
47766	('21903',)	0.01090819019310831	0.1904207550307667	2.5566507282315794	Organic Avocado	Organic Baby Spinach
21903	('47766',)	0.01090819019310831	0.14645689434638015	2.5566507282315794	Organic Baby Spinach	Organic Avocado
47766	('47626',)	0.01042232320634104	0.18193913188092467	2.9385451386590278	Organic Avocado	Large Lemon
47626	('47766',)	0.01042232320634104	0.16833358978304355	2.9385451386590278	Large Lemon	Organic Avocado
26209	('24852',)	0.01010793868549163	0.2193961952026468	1.5405284916607285	Limes	Banana
24852	('26209',)	0.01010793868549163	0.07097464713358753	1.5405284916607285	Banana	Limes
39275	('21137',)	0.009774500557318015	0.2580482897384306	3.083273173474541	Organic Blueberries	Organic Strawberries
21137	('39275',)	0.009774500557318015	0.1167899829254411	3.083273173474541	Organic Strawberries	Organic Blueberries
30391	('13176',)	0.009688759324359085	0.2718524458700882	2.2949602449449533	Organic Cucumber	Bag of Organic Bananas
13176	('30391',)	0.009688759324359085	0.08179186102621844	2.2949602449449533	Bag of Organic Bananas	Organic Cucumber
47209	('21903',)	0.009583964484075948	0.17187766957116007	2.307685257338956	Organic Hass Avocado	Organic Baby Spinach
21903	('47209',)	0.009583964484075948	0.1286774111025838	2.307685257338956	Organic Baby Spinach	Organic Hass Avocado
47626	('21903',)	0.009469642840130708	0.15294660717033393	2.0535106823802045	Large Lemon	Organic Baby Spinach
21903	('47626',)	0.009469642840130708	0.12714249168585318	2.0535106823802045	Organic Baby Spinach	Large Lemon
28204	('24852',)	0.009240999552240227	0.3665910808767951	2.574082947782096	Organic Fuji Apple	Banana
24852	('28204',)	0.009240999552240227	0.06488728343032979	2.574082947782096	Banana	Organic Fuji Apple
45066	('24852',)	0.009212419141253918	0.3415754150476863	2.3984311051783056	Honeycrisp Apple	Banana
24852	('45066',)	0.009212419141253918	0.06468660111044217	2.3984311051783056	Banana	Honeycrisp Apple
4920	('24852',)	0.008974249049701335	0.28975699784681636	2.0345790884331243	Seedless Red Grapes	Banana
24852	('4920',)	0.008974249049701335	0.06301424844471203	2.0345790884331243	Banana	Seedless Red Grapes
39275	('13176',)	0.008678918136176132	0.22912474849094566	1.9342558689761216	Organic Blueberries	Bag of Organic Bananas
13176	('39275',)	0.008678918136176132	0.07326684896252213	1.9342558689761216	Bag of Organic Bananas	Organic Blueberries
27845	('13176',)	0.008621757314203511	0.22750125691302162	1.9205504611861945	Organic Whole Milk	Bag of Organic Bananas
13176	('27845',)	0.008621757314203511	0.07278430110986006	1.9205504611861945	Bag of Organic Bananas	Organic Whole Milk
47766	('21137',)	0.008459801651947756	0.14768002660901383	1.7645451739406208	Organic Avocado	Organic Strawberries
21137	('47766',)	0.008459801651947756	0.10108138873079113	1.7645451739406208	Organic Strawberries	Organic Avocado
